Job No,Date,Client,Type Of Txn,Filmed By,Antenna,Location,Satellite,Txp,Sat Charges Paid,Sat Provider,Duration,Pricing,Engineer2,Comments,Guest / Reporter,Studio,Camera,Guest fee,Duration_in_minutes
32,03-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
33,03-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,11:00,"1,100.00",Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,660
34,03-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
35,03-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
36,03-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
37,03-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
38,03-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:25,40,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,25
39,03-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:40,64,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,40
40,03-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
41,03-Jan-22,mbc,sng,NO Cameraman,Sunny G365649,Assigned Location,E21B,Other Ch,Client,No Sat Provider,3:30,400,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,210
44,04-Jan-22,trt,we transfer,NO Cameraman,No Antenna,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:10,265,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,10
45,04-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),Sony XDcam X150,Payment,15
47,04-Jan-22,bloomberg asharq,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:20,180,Engineer,Comment,Guest / Reporter,4(4thfloor),Sony XDcam X320,No Payment,20
48,04-Jan-22,russian today,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,Ch 3,No Sat Charges,No Sat Provider,0:35,350,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,35
49,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
50,04-Jan-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,12:00,"1,200.00",Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,720
51,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
52,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
53,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
54,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
55,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:25,40,Engineer,Comment,No Guest / Reporter,No Studio,,Payment,25
56,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
57,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
58,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:10,16,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,10
59,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
60,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
61,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:45,72,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,45
62,04-Jan-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
63,04-Jan-22,mbc,sng,NO Cameraman,Sunny G365649,Assigned Location,E21B,Other Ch,Client,No Sat Provider,3:30,400,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,210
64,04-Jan-22,other,renting 4g,NO Cameraman,No Antenna,Assigned Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,4:00,300,No Engineer needed,Comment,No Guest / Reporter,No Studio,,No Payment,240
65,05-Jan-22,alghad tv,live position transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 2,Client,No Sat Provider,0:15,285,Engineer,No Comment,Guest / Reporter,underthebuilding,,No Payment,15
66,05-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,15
67,05-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 3,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,7(3rdfloor),,Payment,15
68,05-Jan-22,alghad tv,live position transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 2,Client,No Sat Provider,0:15,285,Engineer,No Comment,Guest / Reporter,underthebuilding,,No Payment,15
69,05-Jan-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:20,335,Engineer,Comment,Guest / Reporter,7(3rdfloor),,Payment,20
70,05-Jan-22,trt arabic,we transfer,NO Cameraman,No Antenna,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:05,265,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,5
71,05-Jan-22,bbc arabic,live studio transmission,Cameraman,FLW,NO Specific Location,E16A,Ch Y,Client,No Sat Provider,0:15,275,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,15
73,05-Jan-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),,Payment,15
75,05-Jan-22,alghad tv,live position transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,No Comment,Guest / Reporter,underthebuilding,,No Payment,15
76,05-Jan-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:30,475,Engineer,Comment,Guest / Reporter,7(3rdfloor),,Payment,30
77,05-Jan-22,russian today,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,Ch 3,No Sat Charges,No Sat Provider,0:35,350,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,35
