Job No,Date,Client,Type Of Txn,Filmed By,Antenna,Location,Satellite,Txp,Sat Charges Paid,Sat Provider,Duration,Pricing,Engineer2,Comments,Guest / Reporter,Studio,Camera,Guest fee,Duration_in_minutes
1568,26-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1569,26-Mar-22,pmp,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,0:15,36,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1570,26-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1571,26-Mar-22,pmp,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,0:20,48,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
1573,26-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1574,26-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:50,80,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,50
1575,26-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:55,88,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,55
1576,26-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1577,26-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:45,72,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,45
1578,26-Mar-22,pmp,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,0:20,48,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
1579,27-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,15
1580,27-Mar-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,Comment,Guest / Reporter,7(3rdfloor),,Payment,15
1581,27-Mar-22,abu dhabi tv,live studio transmission,Cameraman,VPS,NO Specific Location,HELLASAT,Other Txp,Client,No Sat Provider,0:15,175,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,15
1582,27-Mar-22,russian today,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,Ch 3,No Sat Charges,No Sat Provider,0:15,130,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,15
1584,27-Mar-22,bloomberg asharq,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 1,No Sat Charges,No Sat Provider,0:20,180,Engineer,Comment,Guest / Reporter,4(4thfloor),,No Payment,20
1585,27-Mar-22,trt arabic,we transfer,NO Cameraman,No Antenna,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:05,265,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,5
1586,27-Mar-22,al-awael,live studio transmission,Cameraman,VPS,NO Specific Location,E36B,Ch 1,Client,No Sat Provider,0:30,100,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,30
1587,27-Mar-22,bloomberg asharq,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 1,No Sat Charges,No Sat Provider,0:20,180,Engineer,Comment,Guest / Reporter,4(4thfloor),,Payment,20
1588,27-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),,Payment,15
1590,27-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:20,140,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,20
1591,27-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:40,260,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,40
1592,27-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,15
1593,27-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1594,27-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1595,27-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1596,27-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1597,27-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:45,72,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,45
1598,27-Mar-22,mbc,sng,NO Cameraman,Sunny G365649,Assigned Location,E21B,Other Ch,Client,No Sat Provider,4:00,400,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,240
1599,28-Mar-22,other,turnaround,NO Cameraman,WMT,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,1:00,650,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,60
1600,28-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:40,260,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,40
1601,28-Mar-22,alghad tv,live position transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,No Comment,Guest / Reporter,underthebuilding,Sony XDcam X150,No Payment,15
1603,28-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),Sony XDcam X150,Payment,15
1604,28-Mar-22,alghad tv,live position transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,No Comment,Guest / Reporter,underthebuilding,Sony XDcam X150,No Payment,15
1605,28-Mar-22,bloomberg asharq,live position transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:20,180,Engineer,No Comment,Guest / Reporter,underthebuilding,Sony XDcam X150,No Payment,20
1607,28-Mar-22,al-awael,live studio transmission,Cameraman,VPS,NO Specific Location,E36B,Ch 1,Client,No Sat Provider,0:30,100,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,30
1608,28-Mar-22,al-awael,live studio transmission,Cameraman,VPS,NO Specific Location,E36B,Other Txp,Client,No Sat Provider,1:00,200,Engineer,Comment,Guest / Reporter,3(5thfloor),Sony HDV270,Payment,60
1609,28-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,15
1610,28-Mar-22,russian today,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,Ch 3,No Sat Charges,No Sat Provider,0:15,130,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,15
1611,28-Mar-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,Comment,Guest / Reporter,7(3rdfloor),,Payment,15
1612,28-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
1615,29-Mar-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,15
1617,29-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,15
1619,29-Mar-22,al-awael,live studio transmission,Cameraman,VPS,NO Specific Location,E36B,Ch 1,Client,No Sat Provider,0:30,100,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,30
1620,29-Mar-22,trt,we transfer,NO Cameraman,No Antenna,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:10,265,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,10
1621,29-Mar-22,dw,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:50,650,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,50
1622,29-Mar-22,other,turnaround,NO Cameraman,WMT,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,2:30,"1,550.00",Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,150
1623,29-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:35,56,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,35
1624,29-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
1625,29-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:30,48,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,30
1626,29-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1627,29-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:45,72,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,45
1629,30-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 1,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),Sony XDcam X150,Payment,15
1631,30-Mar-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,15
1632,30-Mar-22,bloomberg asharq,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 1,No Sat Charges,No Sat Provider,0:55,550,Engineer,Comment,Guest / Reporter,4(4thfloor),Sony XDcam X320,Payment,55
1635,30-Mar-22,bloomberg asharq,live position transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,130,Engineer,No Comment,Guest / Reporter,underthebuilding,Sony XDcam X150,No Payment,15
1636,30-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:40,260,Engineer,Comment,Guest / Reporter,3(5thfloor),Sony XDcam X320,Payment,40
1637,30-Mar-22,bbc arabic,live studio transmission,Cameraman,FLW,NO Specific Location,E16A,Ch X,Client,No Sat Provider,0:30,500,Engineer,No Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,No Payment,30
1638,30-Mar-22,russian today,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,Ch 3,No Sat Charges,No Sat Provider,0:35,350,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,35
1639,30-Mar-22,al-awael,live studio transmission,Cameraman,VPS,NO Specific Location,E36B,Ch 1,Client,No Sat Provider,1:15,220,Engineer,Comment,Guest / Reporter,other,Sony XDcam X320,Payment,75
1640,30-Mar-22,other,turnaround,NO Cameraman,FLW,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,1:30,950,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,90
1641,30-Mar-22,trt arabic,live studio transmission,NO Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,15
1642,30-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:25,40,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,25
1643,30-Mar-22,shehab,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,3:30,350,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,210
1644,30-Mar-22,shehab,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,3:30,350,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,210
1645,30-Mar-22,shehab,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,1:10,122.5,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,70
1646,30-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:50,80,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,50
1647,30-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:45,72,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,45
1648,30-Mar-22,pmp,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 4 7A,ISOL,Noorsat,0:15,36,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1650,31-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,15
1651,31-Mar-22,other,we transfer,NO Cameraman,No Antenna,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:10,300,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,10
1652,31-Mar-22,trt,we transfer,NO Cameraman,No Antenna,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:10,265,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,10
1653,31-Mar-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),Sony XDcam X150,Payment,15
1655,31-Mar-22,al-awael,live studio transmission,Cameraman,VPS,NO Specific Location,E36B,Ch 1,Client,No Sat Provider,0:30,100,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,30
1656,31-Mar-22,al mamlaka,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:25,350,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,25
1657,31-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
1658,31-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1659,31-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:25,40,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,25
1660,31-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,1:15,120,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,75
1661,31-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
1662,31-Mar-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,0:45,72,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,45
1663,31-Mar-22,other,other txn,NO Cameraman,No Antenna,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,3:00,580,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,180
1665,01-Apr-22,bloomberg asharq,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 1,No Sat Charges,No Sat Provider,0:20,180,Engineer,Comment,Guest / Reporter,4(4thfloor),Sony XDcam X320,Payment,20
1667,01-Apr-22,bloomberg asharq,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 1,No Sat Charges,No Sat Provider,0:20,180,Engineer,Comment,Guest / Reporter,4(4thfloor),,Payment,20
1668,01-Apr-22,russian today,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,Ch 3,No Sat Charges,No Sat Provider,0:35,350,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,35
1669,01-Apr-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,15
1670,01-Apr-22,russian today,live studio transmission,Cameraman,Aviwest,NO Specific Location,No Satellite,Ch 3,No Sat Charges,No Sat Provider,0:20,180,Engineer,Comment,Guest / Reporter,3(5thfloor),Sony HDV270,Payment,20
1671,01-Apr-22,dw,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,Slot 3 7A,ISOL,Noorsat,0:20,290,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,20
1672,01-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1673,01-Apr-22,other,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,2:00,270,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,120
1674,01-Apr-22,pmp,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:50,120,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,50
1675,01-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:30,48,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,30
1676,02-Apr-22,trt,we transfer,NO Cameraman,No Antenna,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:10,265,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,10
1677,02-Apr-22,bloomberg asharq,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 1,No Sat Charges,No Sat Provider,0:15,130,Engineer,Comment,Guest / Reporter,4(4thfloor),Sony XDcam X320,Payment,15
1678,02-Apr-22,trt arabic,we transfer,NO Cameraman,No Antenna,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:10,265,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,10
1680,02-Apr-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,15
1681,02-Apr-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:30,475,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,30
1682,02-Apr-22,trt arabic,live studio transmission,Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:40,260,Engineer,Comment,Guest / Reporter,6(3rdfloor),Sony HDV270,Payment,40
1683,02-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1684,02-Apr-22,pmp,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 4 7A,ISOL,Noorsat,0:15,36,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1685,02-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:25,40,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,25
1686,02-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:25,40,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,25
1687,02-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1688,02-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1689,02-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
1690,02-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1691,02-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1692,02-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:40,64,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,40
1693,02-Apr-22,other,sng,NO Cameraman,Dacia G175677,Assigned Location,E21B,Slot 3 7A,ISOL,Noorsat,1:00,530,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,60
1694,03-Apr-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,Comment,Guest / Reporter,7(3rdfloor),,Payment,15
1695,03-Apr-22,trt arabic,live studio transmission,NO Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),,Payment,15
1696,03-Apr-22,trt arabic,live studio transmission,NO Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,1(6thfloor),,Payment,15
1697,03-Apr-22,trt arabic,live studio transmission,NO Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:20,140,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,20
1698,03-Apr-22,trt arabic,live studio transmission,NO Cameraman,WMT,NO Specific Location,No Satellite,Output 2,No Sat Charges,No Sat Provider,0:15,120,Engineer,Comment,Guest / Reporter,6(3rdfloor),,Payment,15
1699,03-Apr-22,bbc arabic,live studio transmission,Cameraman,FLW,NO Specific Location,E16A,Ch Y,Client,No Sat Provider,0:30,500,Engineer,No Comment,Guest / Reporter,6(3rdfloor),,No Payment,30
1700,03-Apr-22,alghad tv,live studio transmission,NO Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:30,475,Engineer,Comment,Guest / Reporter,7(3rdfloor),,Payment,30
1701,03-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1702,03-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 1 7A,ISOL,Noorsat,0:20,32,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,20
1703,03-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1704,03-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1705,03-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1706,03-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:15,24,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,15
1707,03-Apr-22,yemen live tv,space segment,NO Cameraman,No Antenna,NO Specific Location,E21B,Slot 2 7A,ISOL,Noorsat,0:40,64,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,40
1708,03-Apr-22,other,sng,NO Cameraman,Dacia G175677,Assigned Location,E21B,Slot 3 7A,ISOL,Noorsat,1:00,530,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,60
1712,04-Apr-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,15
1713,04-Apr-22,alghad tv,tape feed transmission,NO Cameraman,FLW,NO Specific Location,E21B,Other Txp,Client,No Sat Provider,0:30,475,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,30
1714,04-Apr-22,alghad tv,live studio transmission,Cameraman,FLW,NO Specific Location,E21B,AlGhad Slot 3,Client,No Sat Provider,0:15,285,Engineer,Comment,Guest / Reporter,7(3rdfloor),Sony HDV270,Payment,15
1715,04-Apr-22,trt arabic,we transfer,NO Cameraman,No Antenna,NO Specific Location,No Satellite,No Txp,No Sat Charges,No Sat Provider,0:10,265,Engineer,Comment,No Guest / Reporter,No Studio,,No Payment,10
