,GVG Focus 75,LDX-80,Sony,Lenses: Tele lens,Lenses: Box lenses,Lenses:Fujinon,Canon Digisuper 75 XSW / EDFS,Video server,Headset microphones,Handled microphone,Audio monitor,Audio Mixer,Microphones,video server,LCD Screen,Wireless intercom.1,view finders,HF wireless,BLT slow motion,Playout server,Converters from HDMI to SDI,Other Accessories,CAMERAMEN STUDIO OPERATOR,Technician OBVAN,Price,Month,DayOfWeek,CLIENT_Other,CLIENT_Russia Today,CLIENT_Skynews Arabia,Distance_Category
43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,2,1,0,0,0,1.0
44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,2,2,0,0,0,1.0
45,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3150,2,2,0,0,0,2.0
46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,2,4,0,0,0,1.0
47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,2,5,0,0,0,1.0
48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,2,6,0,0,0,1.0
49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,2,0,0,0,0,1.0
50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3,2,0,0,0,1.0
51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3,4,0,0,0,1.0
52,6,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,1,1,1,2000,3,6,1,0,0,0.0
53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3,6,0,0,0,1.0
54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3,1,0,0,0,1.0
55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3,2,0,0,0,1.0
56,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1000,3,6,0,1,0,0.0
57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3,0,0,0,0,1.0
58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3,1,0,0,0,1.0
59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3,2,0,0,0,1.0
60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3,4,0,0,0,1.0
61,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,2150,3,6,0,0,0,0.0
62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3,6,0,0,0,1.0
63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3,0,0,0,0,1.0
64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3,1,0,0,0,1.0
65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3,2,0,0,0,1.0
66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3,4,0,0,0,1.0
67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3,5,0,0,0,1.0
68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3,6,0,0,0,1.0
69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3,0,0,0,0,1.0
70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3,1,0,0,0,1.0
71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3,2,0,0,0,1.0
72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3,3,0,0,0,1.0
73,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,2150,5,6,0,0,0,0.0
74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,5,0,0,0,0,1.0
75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,5,1,0,0,0,1.0
76,4,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,1,2150,5,2,0,0,0,2.0
77,4,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,1,2150,5,5,0,0,0,0.0
78,4,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,1,2150,5,0,0,0,0,2.0
79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,5,0,0,0,0,1.0
80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3650,5,1,0,0,0,0.0
81,4,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,1,2150,5,3,0,0,0,0.0
82,4,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,1,2150,5,4,0,0,0,2.0
83,0,0,4,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,6250,5,4,0,0,1,0.0
84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3650,5,4,0,0,0,0.0
85,0,0,4,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,6250,5,5,0,0,1,0.0
86,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2800,5,6,1,0,0,0.0
87,0,0,4,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,6250,5,6,0,0,1,0.0
88,4,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,1,1,3000,5,6,0,1,0,0.0
89,0,0,4,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,6250,5,0,0,0,1,0.0
90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,5,0,0,0,0,1.0
91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,5,1,0,0,0,1.0
92,0,0,4,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,6250,5,1,0,0,1,0.0
93,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1000,5,1,0,1,0,0.0
94,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3500,5,2,0,0,0,1.0
95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,5,3,0,0,0,1.0
96,4,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,1,2150,5,1,0,0,0,1.0
97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,5,2,0,0,0,1.0
98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,5,3,0,0,0,1.0
99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,5,5,0,0,0,1.0
100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650,5,6,0,0,0,2.0
101,4,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,1,2150,5,1,0,0,0,2.0
102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,6,3,0,0,0,1.0
103,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,2150,6,4,0,0,0,1.0
104,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,4150,6,5,0,0,0,1.0
105,4,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,1,2150,6,1,0,0,0,2.0
106,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4000,6,2,0,0,0,1.0
107,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2500,6,4,1,0,0,0.0
108,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4150,6,6,0,0,0,1.0
109,4,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,1,2150,6,6,0,0,0,2.0
110,4,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,1,2150,6,1,0,0,0,2.0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4000,6,2,0,0,0,1.0
